GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_251: 65 years and over
59150748,DA,59150748,0.0411,534,289,270,50
59150749,DA,59150749,0.1148,591,354,345,75
59150750,DA,59150750,0.9061,1128,644,605,110
59150751,DA,59150751,0.8731,708,383,340,160
59150752,DA,59150752,0.0398,319,149,131,40
59150753,DA,59150753,0.0283,261,131,113,35
59150754,DA,59150754,0.0428,497,293,266,95
59150755,DA,59150755,0.0516,844,453,428,190
59150756,DA,59150756,0.0242,215,113,100,30
59150757,DA,59150757,0.0788,1054,705,650,165
59150758,DA,59150758,0.0273,495,263,253,215
59150759,DA,59150759,0.0491,884,307,277,115
59150760,DA,59150760,0.0312,595,330,306,255
59150761,DA,59150761,0.035,774,249,220,185
59150762,DA,59150762,0.0788,435,343,321,125
59150763,DA,59150763,0.0304,294,207,187,45
59150777,DA,59150777,0.0156,1193,662,625,100
59150779,DA,59150779,0.0167,1046,657,619,90
59150782,DA,59150782,0.0163,480,335,308,65
59150784,DA,59150784,0.017,631,444,424,85
59150785,DA,59150785,0.0488,1905,1422,1337,115
59150786,DA,59150786,0.0171,1165,736,678,125
59150787,DA,59150787,0.0097,501,237,216,80
59150788,DA,59150788,0.0245,719,441,414,160
59150790,DA,59150790,0.0421,1205,713,657,295
59150791,DA,59150791,0.0183,610,464,434,60
59150792,DA,59150792,0.0244,964,610,558,150
59150793,DA,59150793,0.0223,914,718,657,285
59150795,DA,59150795,0.048,853,621,581,110
59150816,DA,59150816,0.0127,357,216,209,50
59150817,DA,59150817,0.0267,433,266,223,95
59150819,DA,59150819,0.0134,469,330,318,25
59150820,DA,59150820,0.0132,532,367,344,60
59150821,DA,59150821,0.0153,470,330,319,90
59150822,DA,59150822,0.0158,408,246,233,30
59150823,DA,59150823,0.0182,441,310,300,30
59150824,DA,59150824,0.0176,449,345,305,100
59150827,DA,59150827,0.0349,513,386,351,110
59150828,DA,59150828,0.05,663,479,433,155
59150831,DA,59150831,0.0236,627,448,419,130
59150832,DA,59150832,0.0496,722,560,492,70
59150837,DA,59150837,0.0186,422,335,302,115
59150840,DA,59150840,0.0175,419,295,271,35
59150841,DA,59150841,0.018,430,281,253,20
59150845,DA,59150845,0.027,651,443,412,70
59150846,DA,59150846,0.0262,799,549,506,75
59150850,DA,59150850,0.1433,2626,1548,1390,275
59150859,DA,59150859,0.0153,422,272,261,110
59150861,DA,59150861,0.0235,634,484,429,215
59150863,DA,59150863,0.0544,581,458,401,200
59150864,DA,59150864,0.0177,515,374,356,130
59150865,DA,59150865,0.0359,638,461,432,175
59150866,DA,59150866,0.0179,550,373,355,115
59150871,DA,59150871,0.3138,551,380,360,70
59150872,DA,59150872,0.0778,421,230,208,160
59150873,DA,59150873,0.0629,531,308,281,80
59150874,DA,59150874,0.171,612,398,375,60
59150875,DA,59150875,0.0339,521,357,328,45
59150876,DA,59150876,0.0333,574,413,380,80
59150877,DA,59150877,0.0168,340,258,250,50
59150878,DA,59150878,0.0347,538,373,355,95
59150879,DA,59150879,0.0511,711,434,410,195
59150880,DA,59150880,0.0496,571,357,331,110
59150881,DA,59150881,0.0657,616,391,361,165
59150882,DA,59150882,0.0789,710,382,356,145
59150883,DA,59150883,0.1708,490,249,229,155
59150884,DA,59150884,0.0818,434,191,174,220
59150885,DA,59150885,0.6794,424,255,250,145
59150886,DA,59150886,0.5035,523,250,238,80
59150887,DA,59150887,0.1649,524,216,197,105
59150888,DA,59150888,0.0891,451,186,168,95
59150889,DA,59150889,0.1108,483,184,174,70
59150890,DA,59150890,0.1124,613,239,215,110
59150891,DA,59150891,0.2099,526,205,194,90
59150892,DA,59150892,0.1574,409,168,153,85
59150893,DA,59150893,0.1124,559,230,213,115
59150894,DA,59150894,0.0994,619,276,258,70
59150895,DA,59150895,0.1042,527,212,195,80
59150896,DA,59150896,0.0969,547,218,200,85
59150897,DA,59150897,0.1156,601,249,229,135
59150898,DA,59150898,0.1325,521,215,196,100
59150899,DA,59150899,0.1346,645,289,267,115
59150900,DA,59150900,0.0882,427,171,154,70
59150901,DA,59150901,0.1021,454,170,161,70
59150902,DA,59150902,0.1015,567,235,221,100
59150903,DA,59150903,0.1971,474,182,170,80
59150904,DA,59150904,0.1269,476,175,161,100
59150905,DA,59150905,0.1412,528,203,188,90
59150906,DA,59150906,0.1278,458,175,167,95
59150907,DA,59150907,0.1637,630,262,243,100
59150908,DA,59150908,0.2235,530,208,200,85
59150909,DA,59150909,0.2503,503,187,178,105
59150910,DA,59150910,0.177,474,181,163,100
59150911,DA,59150911,0.4808,558,206,195,115
59150912,DA,59150912,0.1717,483,189,177,115
59150913,DA,59150913,0.1907,516,182,169,100
59150914,DA,59150914,0.1549,460,173,166,95
59150915,DA,59150915,0.1196,504,196,177,90
59150916,DA,59150916,0.1053,457,172,161,90
59150917,DA,59150917,0.1776,511,180,167,80
59150918,DA,59150918,0.1076,437,177,160,100
59150919,DA,59150919,0.373,477,173,166,95
59150920,DA,59150920,0.1014,486,197,171,75
59150922,DA,59150922,0.0897,443,186,172,85
59150923,DA,59150923,0.1337,596,258,235,125
59150924,DA,59150924,0.091,552,322,286,100
59150925,DA,59150925,0.0859,564,318,276,115
59150926,DA,59150926,0.1085,721,372,341,115
59150927,DA,59150927,0.1122,604,279,252,120
59150928,DA,59150928,0.0903,473,200,170,85
59150929,DA,59150929,0.0946,398,172,153,90
59150930,DA,59150930,0.1131,434,166,154,100
59150931,DA,59150931,0.1578,495,215,199,150
59150932,DA,59150932,0.3498,407,184,163,135
59150933,DA,59150933,0.1542,438,185,168,125
59150934,DA,59150934,0.6545,435,164,150,100
59150935,DA,59150935,0.1136,394,158,145,85
59150936,DA,59150936,2.3486,531,220,203,135
59150938,DA,59150938,0.094,323,185,151,35
59150939,DA,59150939,0.0936,1136,774,615,80
59150941,DA,59150941,0.0475,0,0,0,
59150942,DA,59150942,0.0595,170,85,84,0
59150945,DA,59150945,0.0687,412,191,186,180
59150946,DA,59150946,0.416,645,2,2,10
59150952,DA,59150952,0.1871,677,217,212,100
59150953,DA,59150953,1.6605,556,217,197,120
59150954,DA,59150954,0.4363,434,156,146,80
59150955,DA,59150955,0.1835,549,213,202,115
59150956,DA,59150956,0.126,605,253,242,145
59150957,DA,59150957,0.1639,471,176,160,90
59150958,DA,59150958,0.0963,393,153,140,75
59150959,DA,59150959,0.1272,543,204,189,105
59150960,DA,59150960,0.1315,470,168,157,75
59150961,DA,59150961,0.1726,493,194,180,105
59150962,DA,59150962,0.121,458,172,159,90
59150963,DA,59150963,0.1047,505,185,175,105
59150964,DA,59150964,0.1536,565,356,331,270
59150965,DA,59150965,0.0898,436,164,155,65
59150966,DA,59150966,0.1082,553,201,192,95
59150967,DA,59150967,0.1281,581,220,214,105
59150968,DA,59150968,0.2131,564,206,194,85
59150969,DA,59150969,0.1535,580,221,201,110
59150970,DA,59150970,0.1425,507,212,196,120
59150971,DA,59150971,0.1658,502,211,195,115
59150972,DA,59150972,0.1359,684,284,258,200
59150973,DA,59150973,0.1181,646,260,233,95
59150974,DA,59150974,0.1184,543,277,237,105
59150975,DA,59150975,0.0875,671,317,296,65
59150976,DA,59150976,0.1372,629,264,237,120
59150977,DA,59150977,0.1303,804,347,333,115
59150978,DA,59150978,0.1101,425,176,170,95
59150979,DA,59150979,0.1565,443,166,157,100
59150980,DA,59150980,0.1407,500,191,177,95
59150981,DA,59150981,0.1431,443,143,131,60
59150982,DA,59150982,0.137,634,176,165,220
59150983,DA,59150983,1.1386,630,242,223,150
59150984,DA,59150984,0.2194,483,181,171,115
59150985,DA,59150985,0.2503,621,222,208,110
59150986,DA,59150986,0.1387,484,164,158,75
59150987,DA,59150987,0.6386,937,428,413,255
59151198,DA,59151198,0.5807,522,244,234,75
59151199,DA,59151199,0.0723,443,146,137,80
59151200,DA,59151200,0.0529,528,173,156,95
59151201,DA,59151201,0.0443,430,140,133,60
59151202,DA,59151202,0.0436,408,148,129,80
59151203,DA,59151203,0.0561,572,189,178,95
59151204,DA,59151204,0.0595,630,190,179,80
59151205,DA,59151205,0.0356,274,85,80,25
59151206,DA,59151206,0.064,594,174,165,75
59151207,DA,59151207,0.4039,556,178,159,65
59151208,DA,59151208,0.3343,814,271,254,140
59151209,DA,59151209,0.1059,600,217,195,105
59151211,DA,59151211,0.0964,483,189,174,115
59151213,DA,59151213,0.1447,656,227,215,145
59151214,DA,59151214,0.0814,585,207,176,350
59151215,DA,59151215,0.1055,545,180,172,80
59151216,DA,59151216,0.0865,667,349,338,120
59151217,DA,59151217,0.0489,400,161,159,90
59151219,DA,59151219,0.9949,431,150,145,90
59151220,DA,59151220,0.1273,479,177,167,100
59151221,DA,59151221,0.061,765,345,334,150
59151222,DA,59151222,0.1083,612,242,218,115
59151223,DA,59151223,0.1146,704,231,213,130
59151224,DA,59151224,0.13,844,311,290,140
59151225,DA,59151225,0.0949,533,197,176,100
59151226,DA,59151226,0.1066,691,262,235,145
59151227,DA,59151227,0.0961,620,231,211,120
59151228,DA,59151228,0.1154,625,230,223,155
59151229,DA,59151229,0.1152,857,316,306,185
59151230,DA,59151230,0.0598,385,140,136,85
59151231,DA,59151231,0.078,342,127,126,85
59151234,DA,59151234,0.0349,259,118,115,65
59151236,DA,59151236,0.182,1099,431,416,195
59151351,DA,59151351,0.0547,763,309,297,80
59151352,DA,59151352,0.038,386,156,142,60
59151353,DA,59151353,0.0745,453,139,131,70
59151354,DA,59151354,0.0608,483,177,167,80
59151355,DA,59151355,0.0928,674,234,216,115
59151356,DA,59151356,0.0576,1202,567,544,160
59151357,DA,59151357,0.1125,647,239,222,105
59151358,DA,59151358,0.0615,491,186,178,85
59151359,DA,59151359,0.0846,579,208,196,105
59151360,DA,59151360,0.0758,558,208,197,100
59151361,DA,59151361,0.1184,511,178,165,85
59151362,DA,59151362,0.0778,594,219,207,115
59151363,DA,59151363,0.0967,641,262,237,115
59151364,DA,59151364,0.0908,690,261,246,110
59151365,DA,59151365,0.0679,522,206,182,100
59151366,DA,59151366,0.1507,508,149,145,160
59151367,DA,59151367,0.0864,596,218,204,125
59151368,DA,59151368,0.0929,564,211,204,130
59151369,DA,59151369,0.1496,693,235,225,125
59151370,DA,59151370,0.1155,738,284,266,175
59151371,DA,59151371,0.1067,696,253,245,125
59151372,DA,59151372,0.1119,549,209,202,110
59151373,DA,59151373,0.1873,778,304,283,150
59151407,DA,59151407,0.3585,559,201,189,70
59151408,DA,59151408,0.046,439,218,205,90
59151409,DA,59151409,0.1115,550,193,186,50
59151410,DA,59151410,0.0867,574,217,205,100
59151411,DA,59151411,0.0947,746,272,254,115
59151412,DA,59151412,0.0973,588,230,214,110
59151413,DA,59151413,0.1048,696,303,275,145
59151414,DA,59151414,0.1344,962,364,320,255
59151415,DA,59151415,0.1253,647,282,270,145
59151416,DA,59151416,0.0782,514,218,202,85
59151417,DA,59151417,0.0762,486,192,180,115
59151418,DA,59151418,0.0608,526,260,250,105
59151419,DA,59151419,0.0758,543,237,217,90
59151420,DA,59151420,0.0999,586,236,223,125
59151423,DA,59151423,0.0415,724,307,296,120
59151424,DA,59151424,0.1061,595,245,228,140
59151425,DA,59151425,0.2353,589,268,250,95
59151426,DA,59151426,0.1894,565,227,215,95
59151427,DA,59151427,0.1162,585,260,253,60
59151428,DA,59151428,0.0724,482,222,211,100
59151429,DA,59151429,0.0997,588,259,237,80
59151430,DA,59151430,0.0687,433,179,164,65
59151432,DA,59151432,0.1231,575,239,226,115
59151433,DA,59151433,0.0722,447,193,178,75
59151434,DA,59151434,0.0866,442,201,186,75
59151435,DA,59151435,0.0662,508,250,239,30
59151436,DA,59151436,0.0708,461,199,184,65
59151437,DA,59151437,0.0569,387,184,170,55
59151438,DA,59151438,0.0562,430,219,205,50
59151439,DA,59151439,0.1758,426,188,166,75
59151440,DA,59151440,0.07,416,176,168,105
59151441,DA,59151441,0.0929,502,175,170,135
59151442,DA,59151442,0.1123,535,220,208,110
59151443,DA,59151443,0.3999,499,180,172,100
59151444,DA,59151444,0.5479,923,321,308,140
59151448,DA,59151448,0.1443,664,295,272,175
59151449,DA,59151449,0.0777,528,236,224,145
59151450,DA,59151450,0.1587,671,264,245,130
59151451,DA,59151451,0.1018,690,259,240,90
59151452,DA,59151452,0.0875,562,218,208,110
59151453,DA,59151453,0.0848,572,212,201,105
59151454,DA,59151454,0.0615,580,192,185,75
59151455,DA,59151455,0.0783,893,348,333,200
59151456,DA,59151456,0.1487,760,267,254,130
59151457,DA,59151457,0.0781,485,169,157,85
59151458,DA,59151458,0.0691,599,235,216,100
59151459,DA,59151459,0.0662,524,199,184,80
59151460,DA,59151460,0.0643,434,153,138,65
59151461,DA,59151461,0.0649,591,218,198,100
59151463,DA,59151463,0.0415,369,136,124,70
59151464,DA,59151464,0.0591,495,207,187,45
59151465,DA,59151465,0.0508,536,197,188,80
59151467,DA,59151467,0.015,514,294,282,25
59151469,DA,59151469,0.0887,723,247,233,90
59151470,DA,59151470,0.078,678,269,263,95
59151471,DA,59151471,0.1062,658,237,227,110
59151472,DA,59151472,0.0805,603,275,258,135
59151473,DA,59151473,0.0856,679,248,239,135
59151474,DA,59151474,0.0854,630,225,208,130
59151475,DA,59151475,0.1138,747,260,240,145
59151476,DA,59151476,0.1642,767,282,251,145
59151477,DA,59151477,0.1403,856,290,272,195
59151478,DA,59151478,0.3187,679,251,234,140
59151479,DA,59151479,0.0861,618,242,224,110
59151483,DA,59151483,0.0667,597,222,205,90
59151484,DA,59151484,0.0847,410,164,156,80
59151485,DA,59151485,0.1407,612,211,199,105
59151486,DA,59151486,0.0867,735,450,419,335
59152941,DA,59152941,0.7109,4198,2120,2020,350
59152942,DA,59152942,0.6681,1468,687,607,245
59152943,DA,59152943,0.1339,626,228,216,275
59152944,DA,59152944,0.081,646,244,240,95
59152945,DA,59152945,0.2681,1307,520,504,275
59152946,DA,59152946,0.1658,833,316,315,205
59153075,DA,59153075,0.0953,423,143,138,75
59153076,DA,59153076,0.0514,237,81,78,50
59153077,DA,59153077,0.0651,440,159,149,90
59153078,DA,59153078,0.1047,695,244,235,105
59153079,DA,59153079,0.0735,514,189,179,95
59153080,DA,59153080,0.0715,539,193,185,85
59153081,DA,59153081,0.0743,442,154,141,70
59153082,DA,59153082,0.0861,356,138,127,75
59153083,DA,59153083,0.1616,337,112,108,90
59153084,DA,59153084,0.1228,637,222,208,75
59153085,DA,59153085,0.0561,552,248,208,80
59153086,DA,59153086,0.0638,660,220,209,100
59153087,DA,59153087,0.0867,797,265,245,160
59153088,DA,59153088,0.1168,688,241,216,115
59153089,DA,59153089,0.085,787,269,260,115
59153090,DA,59153090,0.0778,785,281,259,140
59153091,DA,59153091,0.0632,587,186,174,115
59153092,DA,59153092,0.0584,451,165,152,90
59153093,DA,59153093,0.0961,659,225,209,115
59153094,DA,59153094,0.0499,487,165,153,60
59153095,DA,59153095,0.0755,588,186,176,95
59153096,DA,59153096,0.084,592,193,181,110
59153097,DA,59153097,0.8876,1252,677,630,130
59153098,DA,59153098,0.1714,488,201,190,55
59153123,DA,59153123,0.0343,587,377,365,65
59153124,DA,59153124,0.017,306,231,219,50
59153132,DA,59153132,0.1202,1360,764,728,310
59153133,DA,59153133,0.0688,666,420,400,105
59153134,DA,59153134,0.0359,604,429,406,60
59153135,DA,59153135,0.0543,855,657,617,105
59153136,DA,59153136,0.0539,993,668,635,45
59153137,DA,59153137,0.0347,647,480,458,60
59153138,DA,59153138,0.0556,546,385,361,60
59153139,DA,59153139,0.036,486,353,339,60
59153140,DA,59153140,0.076,810,557,536,140
59153144,DA,59153144,0.0432,796,407,395,95
59153151,DA,59153151,0.1093,632,419,398,105
59153152,DA,59153152,0.133,939,453,430,315
59153153,DA,59153153,0.0492,905,651,600,140
59153154,DA,59153154,0.0755,805,443,425,240
59153155,DA,59153155,0.0791,763,424,400,65
59153156,DA,59153156,0.0411,317,155,143,60
59153157,DA,59153157,0.0666,597,289,269,75
59153158,DA,59153158,0.0807,793,512,490,85
59153159,DA,59153159,0.0738,652,461,436,85
