GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_251: 65 years and over
59153275,DA,59153275,0.0389,642,406,388,75
59153276,DA,59153276,0.1006,588,226,217,120
59153277,DA,59153277,0.0505,456,221,208,90
59153278,DA,59153278,0.0508,400,184,175,70
59153279,DA,59153279,0.0992,500,180,171,105
59153280,DA,59153280,0.0885,630,242,224,110
59153281,DA,59153281,0.0776,671,257,232,115
59153282,DA,59153282,0.1431,608,256,233,130
59153283,DA,59153283,0.1012,593,223,206,120
59153284,DA,59153284,0.0766,507,187,177,135
59153285,DA,59153285,0.0751,526,194,183,115
59153286,DA,59153286,0.0615,395,131,123,65
59153287,DA,59153287,0.108,702,262,241,155
59153288,DA,59153288,0.0911,724,283,268,150
59153289,DA,59153289,0.0828,570,220,202,150
59153290,DA,59153290,0.0891,667,256,232,165
59153291,DA,59153291,0.0978,662,238,225,115
59153292,DA,59153292,0.1007,675,309,283,120
59153293,DA,59153293,0.081,491,190,173,100
59153295,DA,59153295,0.1908,738,224,210,345
59153296,DA,59153296,0.0822,686,253,238,135
59153297,DA,59153297,0.0907,1017,402,384,200
59153298,DA,59153298,0.0856,612,236,215,95
59153299,DA,59153299,0.0695,565,201,193,105
59153300,DA,59153300,0.073,486,202,183,100
59153301,DA,59153301,0.0582,437,167,159,100
59153302,DA,59153302,0.0532,470,164,159,110
59153303,DA,59153303,0.063,481,189,178,95
59153304,DA,59153304,0.0773,1421,657,625,160
59153305,DA,59153305,0.0959,779,297,274,125
59153306,DA,59153306,0.1333,864,358,333,125
59153307,DA,59153307,0.072,436,171,157,95
59153308,DA,59153308,0.0932,741,258,243,105
59153370,DA,59153370,0.0241,911,606,591,105
59153371,DA,59153371,0.0249,842,631,542,105
59153372,DA,59153372,0.0306,957,694,655,165
59153373,DA,59153373,0.0317,1305,947,866,165
59153394,DA,59153394,0.0571,1238,899,826,355
59153400,DA,59153400,0.0468,903,595,572,125
59153464,DA,59153464,0.0667,1622,1148,1027,90
59153466,DA,59153466,0.3478,693,459,409,70
59153467,DA,59153467,0.017,970,661,619,120
59153469,DA,59153469,0.0339,1035,522,497,255
59153470,DA,59153470,0.0739,853,348,328,210
59153471,DA,59153471,0.0316,1359,838,754,305
59153472,DA,59153472,0.0166,431,273,262,40
59153473,DA,59153473,0.0177,502,260,251,50
59153474,DA,59153474,0.0153,908,493,455,175
59153476,DA,59153476,0.026,727,433,404,75
59153477,DA,59153477,0.0081,489,355,307,25
59153479,DA,59153479,0.0338,1126,690,590,175
59153480,DA,59153480,0.0089,676,448,404,55
59153481,DA,59153481,0.0149,935,591,541,105
59153482,DA,59153482,0.0097,699,470,384,75
59153483,DA,59153483,0.0759,869,500,425,125
59153490,DA,59153490,0.098,1574,750,725,170
59153491,DA,59153491,0.0542,1056,639,620,145
59153492,DA,59153492,0.1182,588,226,218,45
59153498,DA,59153498,0.0848,728,366,338,185
59153499,DA,59153499,0.0165,1132,582,561,165
59153500,DA,59153500,0.0339,429,231,226,25
59153539,DA,59153539,0.1678,1176,444,440,390
59153540,DA,59153540,0.1006,578,214,213,110
59153552,DA,59153552,0.2491,938,591,557,155
59153553,DA,59153553,0.0317,538,357,337,85
59153562,DA,59153562,0.0534,440,225,212,110
59153578,DA,59153578,0.3852,630,350,306,60
59153579,DA,59153579,0.0166,506,404,379,145
59153580,DA,59153580,0.0405,835,697,617,90
59153581,DA,59153581,0.0388,694,427,271,150
59153582,DA,59153582,0.0371,1396,991,870,130
59153583,DA,59153583,0.0397,1001,481,434,280
59153585,DA,59153585,0.1278,1256,957,880,170
59153586,DA,59153586,3.9206,1105,750,678,275
59153587,DA,59153587,0.0152,750,532,505,110
59153588,DA,59153588,0.0329,883,695,640,230
59153589,DA,59153589,0.0328,905,707,662,200
59153590,DA,59153590,0.0176,430,314,295,55
59153591,DA,59153591,0.0384,867,627,580,170
59153668,DA,59153668,0.0159,351,258,236,55
59153669,DA,59153669,0.0171,347,214,198,115
59153670,DA,59153670,0.0168,677,459,436,105
59153671,DA,59153671,0.0157,403,290,269,30
59153672,DA,59153672,0.016,637,424,408,80
59153673,DA,59153673,0.0179,667,429,418,85
59153674,DA,59153674,0.0173,609,401,385,65
59153675,DA,59153675,0.0177,695,494,476,50
59153676,DA,59153676,0.031,788,560,524,105
59153677,DA,59153677,0.0154,429,281,269,40
59153678,DA,59153678,0.0174,603,410,388,115
59153679,DA,59153679,0.0721,967,685,646,125
59153680,DA,59153680,0.0255,784,584,552,170
59153681,DA,59153681,0.0238,948,657,606,120
59153682,DA,59153682,0.0526,683,525,431,65
59153683,DA,59153683,0.0397,1302,853,703,160
59153684,DA,59153684,0.068,779,534,500,70
59153685,DA,59153685,0.0158,483,304,287,275
59153686,DA,59153686,0.2438,886,497,472,295
59153687,DA,59153687,0.0708,621,352,343,170
59153688,DA,59153688,0.0401,822,397,386,355
59153689,DA,59153689,0.3002,775,356,344,215
59153690,DA,59153690,0.0279,439,210,203,160
59153691,DA,59153691,0.0769,542,363,350,170
59153692,DA,59153692,0.0758,1428,815,782,500
59153799,DA,59153799,0.0602,268,103,98,70
59153800,DA,59153800,0.1016,458,154,146,125
59153801,DA,59153801,0.083,326,120,111,70
59153805,DA,59153805,0.1398,729,261,238,160
59153806,DA,59153806,0.1023,616,208,186,125
59153807,DA,59153807,0.0547,405,135,127,70
59153809,DA,59153809,0.1202,815,282,265,180
59153810,DA,59153810,0.1117,348,123,112,45
59153812,DA,59153812,0.3127,493,188,175,105
59153814,DA,59153814,0.0642,345,124,108,65
59153815,DA,59153815,0.0919,660,268,242,100
59153816,DA,59153816,0.0596,401,156,138,65
59153818,DA,59153818,0.1354,802,306,293,130
59153821,DA,59153821,0.0716,418,174,165,65
59153825,DA,59153825,0.1156,731,278,257,150
59153826,DA,59153826,0.1042,483,201,178,70
59153831,DA,59153831,0.0772,755,368,334,100
59153833,DA,59153833,0.0609,383,205,190,155
59153835,DA,59153835,0.0177,303,196,185,55
59153836,DA,59153836,0.018,291,201,166,45
59153838,DA,59153838,0.0266,327,254,191,65
59153839,DA,59153839,0.0876,1379,1072,989,340
59153843,DA,59153843,0.0496,2188,1486,1384,140
59153847,DA,59153847,0.0493,1609,916,854,190
59153849,DA,59153849,0.0347,1052,735,671,120
59153851,DA,59153851,0.0157,373,258,227,25
59153852,DA,59153852,0.0495,1658,1087,1005,80
59153955,DA,59153955,0.0356,1326,961,744,85
59153956,DA,59153956,0.0479,939,692,649,115
59153986,DA,59153986,0.0522,1362,842,758,415
59153987,DA,59153987,0.0719,1500,811,720,380
59153988,DA,59153988,0.053,1257,578,560,285
59153989,DA,59153989,0.0357,521,291,286,75
59153990,DA,59153990,0.0364,696,425,409,125
59153991,DA,59153991,0.11,1451,809,784,175
59153994,DA,59153994,0.0269,636,462,390,135
59153995,DA,59153995,0.0716,196,122,102,25
59153996,DA,59153996,0.013,797,425,396,55
59153997,DA,59153997,0.1585,1173,723,580,330
59154000,DA,59154000,0.3768,3103,2078,1837,195
59154002,DA,59154002,0.034,1285,639,615,220
59154012,DA,59154012,0.8755,593,223,212,135
59154013,DA,59154013,0.7772,376,144,138,90
59154026,DA,59154026,0.034,58,3,2,0
59154027,DA,59154027,0.0848,1577,923,786,100
59154034,DA,59154034,0.1095,1657,1044,813,265
59154035,DA,59154035,0.0531,1451,685,597,45
59154078,DA,59154078,0.4324,219,202,144,5
59154079,DA,59154079,0.078,1024,597,490,130
59154080,DA,59154080,0.1558,209,82,73,45
59154081,DA,59154081,0.3994,380,143,132,80
59154082,DA,59154082,0.0225,333,168,154,55
59154083,DA,59154083,0.3678,329,4,3,295
59154084,DA,59154084,0.0234,74,45,40,0
59154085,DA,59154085,0.0123,133,35,35,0
59154087,DA,59154087,0.0178,231,133,98,15
59154088,DA,59154088,0.0287,322,94,93,0
59154089,DA,59154089,0.0217,281,79,77,0
59154090,DA,59154090,0.8707,383,169,153,5
59154091,DA,59154091,0.0423,988,525,482,240
59154092,DA,59154092,0.0635,523,126,123,5
59154093,DA,59154093,0.0194,405,242,221,125
59154095,DA,59154095,0.0376,591,310,240,30
59154096,DA,59154096,0.0452,783,347,312,50
59154097,DA,59154097,0.0394,687,283,256,60
59154098,DA,59154098,0.0442,0,0,0,
59154099,DA,59154099,0.489,258,115,106,45
59154100,DA,59154100,0.2903,109,6,3,0
59154101,DA,59154101,1.0318,944,554,421,45
59154102,DA,59154102,0.1096,671,459,352,15
59154103,DA,59154103,0.0535,1264,639,559,45
59154104,DA,59154104,0.0459,830,376,328,10
59154105,DA,59154105,6.4441,0,0,0,
59154134,DA,59154134,0.0499,1483,1063,983,190
59154135,DA,59154135,0.0166,1046,697,637,60
59154136,DA,59154136,0.019,988,497,483,130
59154137,DA,59154137,0.0161,1034,553,539,150
59154138,DA,59154138,0.031,1118,602,583,90
59154139,DA,59154139,0.0262,1703,1049,989,80
59154140,DA,59154140,0.0706,1451,1090,909,385
59154141,DA,59154141,0.0796,1546,886,823,355
59154142,DA,59154142,0.0616,1444,815,764,300
59154143,DA,59154143,0.1381,844,560,505,60
59154144,DA,59154144,0.0326,1309,848,760,45
59154145,DA,59154145,0.034,890,552,502,80
59154146,DA,59154146,0.2062,1156,577,503,100
59154147,DA,59154147,0.0168,655,468,431,50
59154148,DA,59154148,0.0159,855,598,564,45
59154149,DA,59154149,0.0164,497,319,299,65
59154150,DA,59154150,0.0507,342,123,114,40
59154152,DA,59154152,0.0424,273,104,94,45
59154154,DA,59154154,0.0745,536,218,195,85
59154156,DA,59154156,0.0485,996,514,487,135
59154157,DA,59154157,0.0648,407,190,176,75
59154158,DA,59154158,0.0655,439,180,154,70
59154159,DA,59154159,0.0326,332,161,153,30
59154164,DA,59154164,0.0492,572,377,367,70
59154165,DA,59154165,0.2346,661,434,407,70
59154166,DA,59154166,0.0162,345,204,201,50
59154167,DA,59154167,0.0322,981,633,604,170
59154168,DA,59154168,0.0337,372,243,232,45
59154169,DA,59154169,0.1197,948,526,507,200
59154172,DA,59154172,0.1227,1672,966,925,150
59154173,DA,59154173,0.5627,895,730,477,80
59154174,DA,59154174,0.4025,8739,5490,5060,715
59154177,DA,59154177,0.0754,479,177,162,105
59154180,DA,59154180,0.0754,479,208,184,105
59154181,DA,59154181,0.0473,686,354,320,185
59154182,DA,59154182,0.0481,1139,687,643,45
59154183,DA,59154183,0.0708,196,83,73,5
59154184,DA,59154184,0.0302,1909,1153,1072,65
59154185,DA,59154185,0.0391,1303,790,702,100
59154186,DA,59154186,0.0281,586,458,343,5
59154187,DA,59154187,0.1167,1027,649,597,105
59154188,DA,59154188,0.1084,840,309,290,140
59154189,DA,59154189,0.0737,389,166,150,65
59154190,DA,59154190,0.1062,829,400,370,85
59154191,DA,59154191,0.1435,664,297,277,105
59154192,DA,59154192,0.0641,965,515,495,180
59154193,DA,59154193,0.0847,907,509,496,135
59154194,DA,59154194,0.0973,650,233,222,95
59154195,DA,59154195,0.124,689,257,236,175
59154196,DA,59154196,0.1436,774,295,267,175
